industrycode,description,employment,output,employeecompensation,proprietorincome,otherpropertytypeincome,taxonproductionandimports,county
35,Drilling oil and gas wells,9.2088594,2485973.25,340810.09,0,-2506.9121,42055.352,WA_077
36,Support activities for oil and gas operations,0,0,0,0,0,0,WA_077
37,Metal mining services,0,0,0,0,0,0,WA_077
38,Other nonmetallic minerals services,0,0,0,0,0,0,WA_077
39,Electric power generation - Hydroelectric,0,0,0,0,0,0,WA_077
40,Electric power generation - Fossil fuel,0,0,0,0,0,0,WA_077
41,Electric power generation - Nuclear,0,0,0,0,0,0,WA_077
42,Electric power generation - Solar,3.7360327,2002076.875,329135.75,0,931676.75,248327.89,WA_077
43,Electric power generation - Wind,0,0,0,0,0,0,WA_077
44,Electric power generation - Geothermal,0,0,0,0,0,0,WA_077
45,Electric power generation - Biomass,0,0,0,0,0,0,WA_077
46,Electric power generation - All other,0,0,0,0,0,0,WA_077
47,Electric power transmission and distribution,76.315643,141152992,11222876,-3818.574,43518280,26588332,WA_077
48,Natural gas distribution,62.317822,59225100,6377029.5,-31523.287,18423796,8734328,WA_077
49,"Water, sewage and other systems",48.632084,12145506,1609925.9,-14805.293,2842278.3,2142959.8,WA_077
50,Construction of new health care structures,152.23273,22967412,6041901.5,3462823.8,3743278,347328.38,WA_077
51,Construction of new manufacturing structures,259.1066,38881308,10691872,5585466,3812251.5,537029.13,WA_077
52,Construction of new power and communication structures,328.02167,56570032,12462087,7763611,11605603,1001328.6,WA_077
53,Construction of new educational and vocational structures,449.72214,61795564,21398210,7272880.5,9769090,816657.31,WA_077
54,Construction of new highways and streets,322.64871,66641472,14289762,6778045,13637789,950152.5,WA_077
55,"Construction of new commercial structures, including farm structures",590.7168,75990296,22457448,13446563,5225259,1664076.1,WA_077
56,Construction of other new nonresidential structures,805.91553,70728936,32750400,18042304,-18021338,1138076.5,WA_077
57,Construction of new single-family residential structures,922.53894,133782088,34577728,22284448,19927512,2334556,WA_077
58,Construction of new multifamily residential structures,282.9317,31165240,10760341,6902817.5,6301997,473931.91,WA_077
59,Construction of other new residential structures,648.06226,130523576,25596120,15243765,16684797,3102347.3,WA_077
60,Maintenance and repair construction of nonresidential structures,433.49829,87902344,16806510,10564175,8859742,1996414,WA_077
61,Maintenance and repair construction of residential structures,219.42674,46293368,8092569.5,4754499.5,5278268,1930670.6,WA_077
62,"Maintenance and repair construction of highways, streets, bridges, and tunnels",158.43445,16419132,6244920.5,3808952.8,-2767210.5,403128.13,WA_077
63,Dog and cat food manufacturing,0,0,0,0,0,0,WA_077
64,Other animal food manufacturing,29.501541,30399006,1947665.5,181091.98,1200473.1,765091.13,WA_077
65,Flour milling,0,0,0,0,0,0,WA_077
66,Rice milling,0,0,0,0,0,0,WA_077
67,Malt manufacturing,0,0,0,0,0,0,WA_077
68,Wet corn milling,0,0,0,0,0,0,WA_077
69,Soybean and other oilseed processing,0,0,0,0,0,0,WA_077
70,Fats and oils refining and blending,0,0,0,0,0,0,WA_077
71,Breakfast cereal manufacturing,0,0,0,0,0,0,WA_077
72,Beet sugar manufacturing,0,0,0,0,0,0,WA_077
73,Sugar cane mills and refining,0,0,0,0,0,0,WA_077
74,Nonchocolate confectionery manufacturing,8.1126051,3102576.25,198057.88,171286.11,83567.766,17442.244,WA_077
75,Chocolate and confectionery manufacturing from cacao beans,0,0,0,0,0,0,WA_077
76,Confectionery manufacturing from purchased chocolate,19.207003,6337089.5,711162.81,67346.438,282924.06,35627.973,WA_077
77,"Frozen fruits, juices and vegetables manufacturing",474.42645,207676416,25571086,153909.42,19865108,1177248.1,WA_077
78,Frozen specialties manufacturing,0,0,0,0,0,0,WA_077
79,Canned fruits and vegetables manufacturing,1038.6515,499381472,53633836,549971.19,39733068,2349391,WA_077
80,Canned specialties,0,0,0,0,0,0,WA_077
81,Dehydrated food products manufacturing,135.66124,61145540,8493960,54000.488,6618697,300818.38,WA_077
82,Cheese manufacturing,101.58463,88726520,4479828,61753.906,1645271.6,478632.28,WA_077
83,"Dry, condensed, and evaporated dairy product manufacturing",57.175644,81548792,6792896.5,33416.191,9754238,399330.06,WA_077
84,Fluid milk manufacturing,0,0,0,0,0,0,WA_077
85,Creamery butter manufacturing,0,0,0,0,0,0,WA_077
86,Ice cream and frozen dessert manufacturing,0,0,0,0,0,0,WA_077
87,Frozen cakes and other pastries manufacturing,131.67551,12739950,4630000.5,91098.781,537103,2210642.5,WA_077
88,Poultry processing,0,0,0,0,0,0,WA_077
89,"Animal, except poultry, slaughtering",737.16864,509334176,46269932,178841.72,14874736,3431625.3,WA_077
90,Meat processed from carcasses,12.991397,6708584.5,638347.88,123294.35,56450.391,43030.543,WA_077
91,Rendering and meat byproduct processing,9.1425133,3314918.75,475503.38,0,56290.727,44112.508,WA_077
92,Seafood product preparation and packaging,0,0,0,0,0,0,WA_077
93,"Bread and bakery product, except frozen, manufacturing",217.675,28535282,6413600,864765.88,1471987.4,1629391.3,WA_077
94,Cookie and cracker manufacturing,0,0,0,0,0,0,WA_077
95,"Dry pasta, mixes, and dough manufacturing",0,0,0,0,0,0,WA_077
96,Tortilla manufacturing,0,0,0,0,0,0,WA_077
97,Roasted nuts and peanut butter manufacturing,8.9212513,4474452,691336.94,0,753353.5,20171.186,WA_077
98,Other snack food manufacturing,9.0758848,4888764.5,714247.25,0,646725.06,29251.146,WA_077
99,Coffee and tea manufacturing,0,0,0,0,0,0,WA_077
100,Flavoring syrup and concentrate manufacturing,0,0,0,0,0,0,WA_077
101,"Mayonnaise, dressing, and sauce manufacturing",0,0,0,0,0,0,WA_077
102,Spice and extract manufacturing,190.67551,104890672,12932251,663411.06,6489979.5,604153.25,WA_077
103,All other food manufacturing,16.877428,5926786,773800.75,188628.91,254432.47,29204.457,WA_077
104,Bottled and canned soft drinks & water,39.162636,30197508,3396120.5,147886.14,3263031.8,244757.03,WA_077
105,Manufactured ice,0,0,0,0,0,0,WA_077
106,Breweries,66.583519,29992730,2686431,1134563.8,3438519.3,2299938,WA_077
107,Wineries,229.75662,73359160,8729096,1396263.6,5338994,2133825.8,WA_077
108,Distilleries,4.1840186,4457630,150366.25,420855.5,366808.66,998918.5,WA_077
109,Tobacco product manufacturing,0,0,0,0,0,0,WA_077
110,"Fiber, yarn, and thread mills",2.514734,787153.3125,102924.84,0,17873.027,10862.056,WA_077
111,Broadwoven fabric mills,0,0,0,0,0,0,WA_077
112,Narrow fabric mills and schiffli machine embroidery,0,0,0,0,0,0,WA_077
113,Nonwoven fabric mills,0,0,0,0,0,0,WA_077
114,Knit fabric mills,0,0,0,0,0,0,WA_077
115,Textile and fabric finishing mills,0,0,0,0,0,0,WA_077
116,Fabric coating mills,0,0,0,0,0,0,WA_077
117,Carpet and rug mills,0,0,0,0,0,0,WA_077
118,Curtain and linen mills,1.1688718,350933.5,26650.545,146511.14,4767.0781,2747.124,WA_077
119,Textile bag and canvas mills,2.2569087,452523.03125,73156.18,123962.84,7916.6226,4028.8809,WA_077
120,"Rope, cordage, twine, tire cord and tire fabric mills",25.149763,6008343.5,904659.25,66029.453,266424.81,83790.359,WA_077
121,Other textile product mills,9.8736391,1322451.5,319441,39342.711,29328.646,15773.878,WA_077
122,Hosiery and sock mills,.98027629,90081.46875,21654.164,0,1941.6006,14066.159,WA_077
123,Other apparel knitting mills,.98286408,103550.984375,21714.23,0,1845.6016,20831.738,WA_077
124,Cut and sew apparel contractors,9.5487957,842391.1875,21611.07,533560.44,174.01711,20319.697,WA_077
125,Mens and boys cut and sew apparel manufacturing,.97606575,115221.484375,21607.459,0,1981.156,3488.5889,WA_077
126,Womens and girls cut and sew apparel manufacturing,.97619981,175508.40625,21608.986,0,3355.0618,4002.3328,WA_077
127,Other cut and sew apparel manufacturing,.97817421,101804.1484375,21635.123,0,1879.9773,6530.0601,WA_077
128,Apparel accessories and other apparel manufacturing,.97669905,93528.40625,21618.432,0,1774.1945,5522.1992,WA_077
129,Leather and hide tanning and finishing,0,0,0,0,0,0,WA_077
130,Footwear manufacturing,0,0,0,0,0,0,WA_077
131,Other leather and allied product manufacturing,2.8823991,368088.5625,0,184460.39,0,2278.1462,WA_077
132,Sawmills,0,0,0,0,0,0,WA_077
133,Wood preservation,0,0,0,0,0,0,WA_077
134,Veneer and plywood manufacturing,0,0,0,0,0,0,WA_077
135,Engineered wood member and truss manufacturing,27.626009,6120069,1258522.4,279345.44,423591.72,50862.148,WA_077
136,Reconstituted wood product manufacturing,0,0,0,0,0,0,WA_077
137,Wood windows and door manufacturing,24.977293,6042539,893109.69,1065964.9,309508.13,51495.188,WA_077
138,"Cut stock, resawing lumber, and planing",0,0,0,0,0,0,WA_077
139,"Other millwork, including flooring",201.62021,40430276,9363301,356623.5,4187904.3,376239.03,WA_077
140,Wood container and pallet manufacturing,56.730675,8905644,1562145,1447381,302357.13,76625.672,WA_077
141,Manufactured home (mobile home) manufacturing,105.13924,23183498,3362020.5,294016,2272668.3,264915.44,WA_077
142,Prefabricated wood building manufacturing,0,0,0,0,0,0,WA_077
143,All other miscellaneous wood product manufacturing,0,0,0,0,0,0,WA_077
144,Pulp mills,0,0,0,0,0,0,WA_077
145,Paper mills,136.12219,104557328,13449105,287844.22,12210784,1057516.6,WA_077
146,Paperboard mills,80.76799,65285560,7014533.5,0,5622214,743400.25,WA_077
147,Paperboard container manufacturing,192.3343,91161136,14285202,0,4212984,944981.94,WA_077
148,Paper bag and coated and treated paper manufacturing,0,0,0,0,0,0,WA_077
149,Stationery product manufacturing,0,0,0,0,0,0,WA_077
150,Sanitary paper product manufacturing,0,0,0,0,0,0,WA_077
151,All other converted paper product manufacturing,0,0,0,0,0,0,WA_077
152,Printing,90.80571,13730362,3534230,1140134.6,1024272.4,158063.64,WA_077
153,Support activities for printing,0,0,0,0,0,0,WA_077
154,Petroleum refineries,0,0,0,0,0,0,WA_077
155,Asphalt paving mixture and block manufacturing,3.740098,3118464,451277.97,0,294308.84,4560.7021,WA_077
156,Asphalt shingle and coating materials manufacturing,0,0,0,0,0,0,WA_077
157,Petroleum lubricating oil and grease manufacturing,0,0,0,0,0,0,WA_077
158,All other petroleum and coal products manufacturing,0,0,0,0,0,0,WA_077
159,Petrochemical manufacturing,0,0,0,0,0,0,WA_077
160,Industrial gas manufacturing,0,0,0,0,0,0,WA_077
161,Synthetic dye and pigment manufacturing,0,0,0,0,0,0,WA_077
162,Other basic inorganic chemical manufacturing,0,0,0,0,0,0,WA_077
163,Other basic organic chemical manufacturing,0,0,0,0,0,0,WA_077
164,Plastics material and resin manufacturing,0,0,0,0,0,0,WA_077
165,Synthetic rubber manufacturing,0,0,0,0,0,0,WA_077
166,Artificial and synthetic fibers and filaments manufacturing,0,0,0,0,0,0,WA_077
167,Nitrogenous fertilizer manufacturing,32.70528,31740008,2506761,71809.758,3993227.8,501183.03,WA_077
168,Phosphatic fertilizer manufacturing,0,0,0,0,0,0,WA_077
169,Fertilizer mixing,15.760393,8249844.5,704195.69,10975.47,932071.13,132863.8,WA_077
170,Pesticide and other agricultural chemical manufacturing,82.03054,129273544,8946403,7791.145,20762082,1921950,WA_077
171,Medicinal and botanical manufacturing,0,0,0,0,0,0,WA_077
172,Pharmaceutical preparation manufacturing,0,0,0,0,0,0,WA_077
173,In-vitro diagnostic substance manufacturing,0,0,0,0,0,0,WA_077
174,Biological product (except diagnostic) manufacturing,0,0,0,0,0,0,WA_077
175,Paint and coating manufacturing,0,0,0,0,0,0,WA_077
176,Adhesive manufacturing,0,0,0,0,0,0,WA_077
177,Soap and other detergent manufacturing,3.4675987,3075355.25,17660.791,40879.832,53973.48,62723.367,WA_077
178,Polish and other sanitation good manufacturing,4.5468292,2342772.5,96565.406,53980.582,131779.89,44225.867,WA_077
179,Surface active agent manufacturing,0,0,0,0,0,0,WA_077
180,Toilet preparation manufacturing,0,0,0,0,0,0,WA_077
181,Printing ink manufacturing,0,0,0,0,0,0,WA_077
182,Explosives manufacturing,0,0,0,0,0,0,WA_077
183,Custom compounding of purchased resins,0,0,0,0,0,0,WA_077
184,Photographic film and chemical manufacturing,0,0,0,0,0,0,WA_077
185,Other miscellaneous chemical product manufacturing,8.1976595,4310699.5,376220.13,18098.82,236582.66,74242.398,WA_077
186,Plastics packaging materials and unlaminated film and sheet manufacturing,543.27002,237965392,42178584,-69906.492,17798670,1639384.9,WA_077
187,Unlaminated plastics profile shape manufacturing,208.74435,94922256,19084838,-18011.627,14920480,565614.88,WA_077
188,Plastics pipe and pipe fitting manufacturing,0,0,0,0,0,0,WA_077
189,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",7.6237321,2339956.75,477427.63,-9328.4238,267076.94,17316.215,WA_077
190,Polystyrene foam product manufacturing,0,0,0,0,0,0,WA_077
191,Urethane and other foam product (except polystyrene) manufacturing,27.776772,11302635,2758546,-21615.451,1105578,72605.602,WA_077
192,Plastics bottle manufacturing,53.250164,23127264,4190957,-12986.043,1729351.8,150764.13,WA_077
193,Other plastics product manufacturing,685.07343,186159200,42162820,-166092.34,13282653,1303593.8,WA_077
194,Tire manufacturing,2.91342,983202.3125,138744.09,-32809.539,30222.6,10361.326,WA_077
195,Rubber and plastics hoses and belting manufacturing,0,0,0,0,0,0,WA_077
196,Other rubber product manufacturing,0,0,0,0,0,0,WA_077
197,"Pottery, ceramics, and plumbing fixture manufacturing",0,0,0,0,0,0,WA_077
198,"Brick, tile, and other structural clay product manufacturing",0,0,0,0,0,0,WA_077
199,Flat glass manufacturing,0,0,0,0,0,0,WA_077
200,Other pressed and blown glass and glassware manufacturing,0,0,0,0,0,0,WA_077
201,Glass container manufacturing,0,0,0,0,0,0,WA_077
202,Glass product manufacturing made of purchased glass,0,0,0,0,0,0,WA_077
203,Cement manufacturing,0,0,0,0,0,0,WA_077
204,Ready-mix concrete manufacturing,13.617157,5341098,830364.75,58944.707,570614.19,54830.637,WA_077
205,Concrete block and brick manufacturing,0,0,0,0,0,0,WA_077
206,Concrete pipe manufacturing,0,0,0,0,0,0,WA_077
207,Other concrete product manufacturing,0,0,0,0,0,0,WA_077
208,Lime manufacturing,0,0,0,0,0,0,WA_077
209,Gypsum product manufacturing,0,0,0,0,0,0,WA_077
210,Abrasive product manufacturing,0,0,0,0,0,0,WA_077
211,Cut stone and stone product manufacturing,12.247636,2130887,583298.06,521103.25,93189.156,15934.195,WA_077
212,Ground or treated mineral and earth manufacturing,0,0,0,0,0,0,WA_077
213,Mineral wool manufacturing,0,0,0,0,0,0,WA_077
214,Miscellaneous nonmetallic mineral products manufacturing,1.8585894,748151.75,85796.719,85126.164,132137.73,7912.6416,WA_077
215,Iron and steel mills and ferroalloy manufacturing,3.2680833,2792524.5,156487.41,-55682.398,87575.898,42122.105,WA_077
216,"Iron, steel pipe and tube manufacturing from purchased steel",0,0,0,0,0,0,WA_077
217,Rolled steel shape manufacturing,0,0,0,0,0,0,WA_077
218,Steel wire drawing,0,0,0,0,0,0,WA_077
219,Alumina refining and primary aluminum production,0,0,0,0,0,0,WA_077
220,Secondary smelting and alloying of aluminum,0,0,0,0,0,0,WA_077
221,"Aluminum sheet, plate, and foil manufacturing",0,0,0,0,0,0,WA_077
222,"Other aluminum rolling, drawing and extruding",33.730316,13486451,1735473.5,-40514.531,583833.25,174115.52,WA_077
223,Nonferrous metal (exc aluminum) smelting and refining,0,0,0,0,0,0,WA_077
224,"Copper rolling, drawing, extruding and alloying",0,0,0,0,0,0,WA_077
225,"Nonferrous metal, except copper and aluminum, shaping",0,0,0,0,0,0,WA_077
226,Secondary processing of other nonferrous metals,0,0,0,0,0,0,WA_077
227,Ferrous metal foundries,0,0,0,0,0,0,WA_077
228,Nonferrous metal foundries,0,0,0,0,0,0,WA_077
229,Custom roll forming,0,0,0,0,0,0,WA_077
230,Crown and closure manufacturing and metal stamping,0,0,0,0,0,0,WA_077
231,Iron and steel forging,0,0,0,0,0,0,WA_077
232,Nonferrous forging,0,0,0,0,0,0,WA_077
233,"Cutlery, utensil, pot, and pan manufacturing",0,0,0,0,0,0,WA_077
234,Handtool manufacturing,0,0,0,0,0,0,WA_077
235,Prefabricated metal buildings and components manufacturing,25.638092,7006578,1150681.8,199082.63,562818,76298.531,WA_077
236,Fabricated structural metal manufacturing,240.88794,83227928,19642982,219423.34,11483814,743968.5,WA_077
237,Plate work manufacturing,42.86903,7864630.5,1834037.5,73272.133,31895.787,87039.414,WA_077
238,Metal window and door manufacturing,50.430435,12513883,2880099.8,72146.625,1822515,121034.21,WA_077
239,Sheet metal work manufacturing,351.86145,75261080,21615202,327071.03,7457445.5,674377.31,WA_077
240,Ornamental and architectural metal work manufacturing,25.362858,5467256.5,1422859.3,56604.242,581489,48741.273,WA_077
241,Power boiler and heat exchanger manufacturing,0,0,0,0,0,0,WA_077
242,Metal tank (heavy gauge) manufacturing,0,0,0,0,0,0,WA_077
243,Metal cans manufacturing,31.227528,24418118,1928317.3,27559.854,2946180,232887.44,WA_077
244,"Metal barrels, drums and pails manufacturing",22.5518,6204483.5,774223.13,183013.94,205981,61266.844,WA_077
245,Hardware manufacturing,0,0,0,0,0,0,WA_077
246,Spring and wire product manufacturing,0,0,0,0,0,0,WA_077
247,Machine shops,109.50487,15569133,5806188,585336.63,1040920.1,141836.53,WA_077
248,"Turned product and screw, nut, and bolt manufacturing",0,0,0,0,0,0,WA_077
249,Metal heat treating,0,0,0,0,0,0,WA_077
250,Metal coating and nonprecious engraving,4.1260037,819598.5625,91471.398,59766.906,85443.047,9110.4209,WA_077
251,"Electroplating, anodizing, and coloring metal",7.3340297,871573.0625,213976.03,38739.066,27489.658,9184.8662,WA_077
252,"Valve and fittings, other than plumbing, manufacturing",0,0,0,0,0,0,WA_077
253,Plumbing fixture fitting and trim manufacturing,0,0,0,0,0,0,WA_077
254,Ball and roller bearing manufacturing,0,0,0,0,0,0,WA_077
255,Small arms ammunition manufacturing,0,0,0,0,0,0,WA_077
256,"Ammunition, except for small arms, manufacturing",0,0,0,0,0,0,WA_077
257,"Small arms, ordnance, and accessories manufacturing",3.0555427,1050732.5,102358.22,100063.81,193902.5,16403.338,WA_077
258,Fabricated pipe and pipe fitting manufacturing,0,0,0,0,0,0,WA_077
259,Other fabricated metal manufacturing,35.278297,6468897,759139.06,545617.13,308146.09,80207.195,WA_077
260,Farm machinery and equipment manufacturing,195.04124,80888136,13157063,759963.63,2576007.8,870308.69,WA_077
261,Lawn and garden equipment manufacturing,0,0,0,0,0,0,WA_077
262,Construction machinery manufacturing,23.802263,13026487,1669104.9,57002.813,785802.44,169697.98,WA_077
263,Mining machinery and equipment manufacturing,0,0,0,0,0,0,WA_077
264,Oil and gas field machinery and equipment manufacturing,0,0,0,0,0,0,WA_077
265,Semiconductor machinery manufacturing,0,0,0,0,0,0,WA_077
266,Food product machinery manufacturing,80.663269,23758196,5562613,197659.59,670475.25,269766,WA_077
267,"Sawmill, woodworking, and paper machinery",0,0,0,0,0,0,WA_077
268,Printing machinery and equipment manufacturing,0,0,0,0,0,0,WA_077
269,All other industrial machinery manufacturing,229.812,55100196,13632513,54323.582,2248931,530211.56,WA_077
270,Optical instrument and lens manufacturing,0,0,0,0,0,0,WA_077
271,Photographic and photocopying equipment manufacturing,0,0,0,0,0,0,WA_077
272,Other commercial service industry machinery manufacturing,0,0,0,0,0,0,WA_077
273,Air purification and ventilation equipment manufacturing,0,0,0,0,0,0,WA_077
274,Heating equipment (except warm air furnaces) manufacturing,4.2350898,973858.6875,156890.06,21231.088,43228.711,11576.066,WA_077
275,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",0,0,0,0,0,0,WA_077
276,Industrial mold manufacturing,0,0,0,0,0,0,WA_077
277,"Special tool, die, jig, and fixture manufacturing",1.0598586,136785.671875,22173.576,21811.602,3702.4194,1600.3258,WA_077
278,Cutting tool and machine tool accessory manufacturing,0,0,0,0,0,0,WA_077
279,Machine tool manufacturing,0,0,0,0,0,0,WA_077
280,Rolling mill and other metalworking machinery manufacturing,0,0,0,0,0,0,WA_077
281,Turbine and turbine generator set units manufacturing,0,0,0,0,0,0,WA_077
282,"Speed changer, industrial high-speed drive, and gear manufacturing",0,0,0,0,0,0,WA_077
283,Mechanical power transmission equipment manufacturing,2.4139895,568170.125,97654.055,17195.08,31468.467,6045.1226,WA_077
284,Other engine equipment manufacturing,0,0,0,0,0,0,WA_077
285,Pump and pumping equipment manufacturing,0,0,0,0,0,0,WA_077
286,Air and gas compressor manufacturing,0,0,0,0,0,0,WA_077
287,Elevator and moving stairway manufacturing,0,0,0,0,0,0,WA_077
288,Conveyor and conveying equipment manufacturing,8.459424,1859755.25,481654.72,42988.746,6152.3691,19623.221,WA_077
289,"Overhead cranes, hoists, and monorail systems manufacturing",0,0,0,0,0,0,WA_077
290,"Industrial truck, trailer, and stacker manufacturing",0,0,0,0,0,0,WA_077
291,Power-driven handtool manufacturing,8.6468477,3562640.5,390755.59,30921.379,275368.44,43129.984,WA_077
292,Welding and soldering equipment manufacturing,0,0,0,0,0,0,WA_077
293,Packaging machinery manufacturing,85.942787,26870262,7246890,94851.328,2041273.9,250494.59,WA_077
294,Industrial process furnace and oven manufacturing,0,0,0,0,0,0,WA_077
295,Fluid power cylinder and actuator manufacturing,0,0,0,0,0,0,WA_077
296,Fluid power pump and motor manufacturing,0,0,0,0,0,0,WA_077
297,"Scales, balances, and miscellaneous general purpose machinery manufacturing",17.411818,4256265.5,792632.63,49091.957,126809.92,44492.914,WA_077
298,Electronic computer manufacturing,0,0,0,0,0,0,WA_077
299,Computer storage device manufacturing,0,0,0,0,0,0,WA_077
300,Computer terminals and other computer peripheral equipment manufacturing,0,0,0,0,0,0,WA_077
301,Telephone apparatus manufacturing,0,0,0,0,0,0,WA_077
302,Broadcast and wireless communications equipment manufacturing,0,0,0,0,0,0,WA_077
303,Other communications equipment manufacturing,0,0,0,0,0,0,WA_077
304,Audio and video equipment manufacturing,0,0,0,0,0,0,WA_077
305,Printed circuit assembly (electronic assembly) manufacturing,0,0,0,0,0,0,WA_077
306,Bare printed circuit board manufacturing,0,0,0,0,0,0,WA_077
307,Semiconductor and related device manufacturing,0,0,0,0,0,0,WA_077
308,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",0,0,0,0,0,0,WA_077
309,Electronic connector manufacturing,0,0,0,0,0,0,WA_077
310,Other electronic component manufacturing,0,0,0,0,0,0,WA_077
311,Electromedical and electrotherapeutic apparatus manufacturing,7.4408283,659796.1875,0,-1382497,0,46229.211,WA_077
312,"Search, detection, and navigation instruments manufacturing",0,0,0,0,0,0,WA_077
313,Automatic environmental control manufacturing,0,0,0,0,0,0,WA_077
314,Industrial process variable instruments manufacturing,0,0,0,0,0,0,WA_077
315,Totalizing fluid meter and counting device manufacturing,0,0,0,0,0,0,WA_077
316,Electricity and signal testing instruments manufacturing,0,0,0,0,0,0,WA_077
317,Analytical laboratory instrument manufacturing,0,0,0,0,0,0,WA_077
318,Irradiation apparatus manufacturing,0,0,0,0,0,0,WA_077
319,"Watch, clock, and other measuring and controlling device manufacturing",0,0,0,0,0,0,WA_077
320,Blank magnetic and optical recording media manufacturing,0,0,0,0,0,0,WA_077
321,Software and other prerecorded and record reproducing,0,0,0,0,0,0,WA_077
322,Electric lamp bulb and part manufacturing,0,0,0,0,0,0,WA_077
323,Lighting fixture manufacturing,3.4250729,770550,159232,-138765.31,28357.711,8731.1533,WA_077
324,Small electrical appliance manufacturing,0,0,0,0,0,0,WA_077
325,Household cooking appliance manufacturing,0,0,0,0,0,0,WA_077
326,Household refrigerator and home freezer manufacturing,0,0,0,0,0,0,WA_077
327,Household laundry equipment manufacturing,0,0,0,0,0,0,WA_077
328,Other major household appliance manufacturing,0,0,0,0,0,0,WA_077
329,"Power, distribution, and specialty transformer manufacturing",0,0,0,0,0,0,WA_077
330,Motor and generator manufacturing,0,0,0,0,0,0,WA_077
331,Switchgear and switchboard apparatus manufacturing,1.9199626,532252.375,107937.48,-94467.078,22029.652,6242.6221,WA_077
332,Relay and industrial control manufacturing,13.344757,3430550.5,673760.44,-81497.359,76006.797,36881.98,WA_077
333,Storage battery manufacturing,0,0,0,0,0,0,WA_077
334,Primary battery manufacturing,0,0,0,0,0,0,WA_077
335,Fiber optic cable manufacturing,0,0,0,0,0,0,WA_077
336,Other communication and energy wire manufacturing,0,0,0,0,0,0,WA_077
337,Wiring device manufacturing,0,0,0,0,0,0,WA_077
338,Carbon and graphite product manufacturing,0,0,0,0,0,0,WA_077
339,All other miscellaneous electrical equipment and component manufacturing,2.90481,590587.5625,134169.33,-96411.641,6650.312,6224.6392,WA_077
340,Automobile manufacturing,0,0,0,0,0,0,WA_077
341,Light truck and utility vehicle manufacturing,0,0,0,0,0,0,WA_077
342,Heavy duty truck manufacturing,0,0,0,0,0,0,WA_077
343,Motor vehicle body manufacturing,0,0,0,0,0,0,WA_077
344,Truck trailer manufacturing,26.686497,8319672.5,1447957.5,0,418933.91,49960.941,WA_077
345,Motor home manufacturing,0,0,0,0,0,0,WA_077
346,Travel trailer and camper manufacturing,106.18541,31757216,5138527,0,319680.09,197321.77,WA_077
